FACILITYID,LOCATION,INSTALLDAT,SUBTYPE,INSTALLCON,ASBUILTNUM,DATAORIGIN,OWNER,COMMENTS,MODELID,MATERIAL,INCASING,LENGTH,WRAPPING,DIAMETER,DEPTH,STATUS,CreatedUse,DateCreate,ModifiedUs,DateModifi,PressureSy,LiningType,PipeClass,Roughness,OperatingP,LiningDate,LiningCont,LiningAsbu,ProjectFun,JointUse,GlobalID,created_us,created_da,last_edite,last_edi_1,Replacemen,OBJECTID,WORKORDERI,DESCRIPTIO,EntityUid,EntityType,LOCATION_1,INITIATEDA,WOXCOORDIN,WOYCOORDIN,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Map_unit_s,Map_unit_n,Ph Rating,Shape_Length
22-23992,Arborland Mall,9/11/1961 0:00,1,,A138W-W,ASBUILT,AA,Cast Iron Confirmed,,CI,0,0,,8,0,IS,,,MMain,9/19/2016 0:00,SHE,,,0,,,,,Develop,,{009B3F1B-25D3-437A-AE25-13A527AB667F},,,,,,518,574450,Water Main Repair Break,22-23992,WWATERMAIN,Arborland Mall,7/13/2018 0:00,-9316105.724,5199502.512,MI161,13,StB,191680,StB,"St. Clair clay loam, 2 to 6 percent slopes",7.3,309.527365
00-00079,Marlborough,6/30/1962 0:00,2,AA,A171W-W,ASBUILT,AA,,,CI,0,453,,20,0,IS,,,CTurkington,4/23/2019 0:00,SHE,,,0,,,,,,,{A8FAD185-D799-467E-9069-41396986BFDF},,,,,,34,348836,Water Main Repair Break,00-00079,WWATERMAIN,Marlborough,5/20/2013 0:00,-9320478.931,5198827.239,MI161,13,MdA,191644,MdA,"Matherton sandy loam, 0 to 4 percent slopes",7.2,452.9376411
00-00404,Platt Rd,7/24/1978 0:00,2,AA,A545W-W5,ASBUILT,AA,,,DI,0,0,,16,0,IS,,,MMain,7/28/2016 0:00,SHE,,,0,,,,,,,{C9671BBF-D37A-4A0D-AD86-DBCA397C7F9F},,,,,,267,465957,Water Main Repair Break,00-00404,WWATERMAIN,Platt Rd,8/28/2015 0:00,-9317452.537,5197191.13,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,304.1691305
00-00428,Platt Rd,7/24/1978 0:00,2,AA,A545W-W6,ASBUILT,AA,,,DI,0,0,,16,0,IS,,,MMain,7/28/2016 0:00,SHE,,,0,,,,,,,{B0D512D5-7D32-4C0E-AB19-0C6A5D2DAD05},,,,,,107,382769,Water Main Repair Break,00-00428,WWATERMAIN,Platt Rd,1/30/2014 0:00,-9317454.242,5197367.59,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,171.4807228
00-00429,Platt Rd,1/1/1960 0:00,1,,,,AA,,,CI,0,160,,8,0,IS,,,EtMiller,7/31/2019 0:00,SHE,,,0,,,,,,,{8762E899-5D2E-4810-A1A5-091F958883F5},,,,,,222,436334,Water Main Repair Break,00-00429,WWATERMAIN,,2/11/2015 0:00,-9317451.511,5197349,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,160.248686
00-00448,,1/1/1960 0:00,1,,,,,,,CI,0,0,,6,0,AB,,,MMain,5/19/2017 0:00,SHE,,,0,,,,,City,,{84DE2A5C-EB1F-483C-A562-806252EFBD6A},,,,,,299,476022,Water Main Repair Break,00-00448,WWATERMAIN,,1/7/2016 0:00,-9317720.976,5197416.968,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,541.2965834
00-00452,,1/1/1960 0:00,1,,,,,,,CI,0,0,,6,0,AB,,,MMain,5/19/2017 0:00,SHE,,,0,,,,,City,,{9CA008D3-36CE-4AF8-9024-A2CEFE4EC389},,,,,,248,449259,Water Main Repair Break,00-00452,WWATERMAIN,,4/8/2015 0:00,-9317724.483,5197632.229,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,466.5475843
00-00458,,1/1/1960 0:00,1,,,,,,,CI,0,0,,8,0,AB,,,EtMiller,2/18/2015 0:00,SHE,,,0,,,,,,,{A3859273-A199-45EF-AA91-EE46C53B8D4F},,,,,,129,385533,Water Main Repair Break,00-00458,WWATERMAIN,,3/5/2014 0:00,-9317860.122,5197459.525,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,26.60787133
00-00528,,1/1/1960 0:00,1,,,,,,,CI,0,0,,8,0,AB,,,EtMiller,4/27/2015 0:00,SHE,,,0,,,,,,,{D39855A1-DCB1-4BA9-BB78-5514072A63E5},,,,,,356,504834,Water Main Repair Break,00-00528,WWATERMAIN,,9/15/2016 0:00,-9317808.635,5197705.854,MI161,13,Ho,191633,Ho,Hoytville silty clay loam,7.2,41.96679931
00-00758,Nottingham Dr,1/1/1950 0:00,1,,,EST,AA,,,CI,0,184,,6,0,IS,,,GBurda,6/11/2019 0:00,SHE,,,0,,,,,,,{1627029B-AE24-4253-8E76-3C669235C55A},,,,,,320,478991,Water Main Repair Break,00-00758,WWATERMAIN,,2/1/2016 0:00,-9318675.999,5199122.127,MI161,13,MoC,191652,MoC,"Morley loam, 6 to 12 percent slopes",7.2,183.8524493
00-00784,Independence Blvd,1/1/1950 0:00,1,,,EST,AA,,,CI,0,591,,6,0,IS,,,GBurda,6/11/2019 0:00,SHE,,,0,,,,,,,{1F36FA37-EDDF-4024-8F48-0EF149C2F86C},,,,,,173,425755,Water Main Repair Break,00-00784,WWATERMAIN,,10/23/2014 0:00,-9318887.242,5199115.185,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,590.8558066
00-00834,Ridge Ave,6/30/1961 0:00,1,,A135W-W,ASBUILT,AA,,,CI,0,327,,6,0,IS,,,EtMiller,7/31/2019 0:00,SHE,,,0,,,,,,,{6DDC97CF-35F0-44FE-AF2D-C16400E44072},,,,,,451,545926,Water Main Repair Break,00-00834,WWATERMAIN,Ridge Ave,11/10/2017 0:00,-9319269.959,5199219.735,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,327.1678177
00-00843,Ridge Ave,6/30/1961 0:00,1,,A135W-W,ASBUILT,AA,,,DI,0,0,,6,0,IS,,,CTurkington,6/21/2017 0:00,SHE,,,0,,,,,,,{E3517A95-E65B-45D8-99FA-6E12B5ACEC8E},,,,,,329,481732,Water Main Repair Break,00-00843,WWATERMAIN,,3/3/2016 0:00,-9319557.875,5199206.219,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,338.0335194
00-01299,Easy St,12/4/2006 0:00,1,BASIL,2005061-W1,ASBUILT,AA,,1631,DI,0,66.1,,8,0,IS,,,EtMiller,10/2/2018 0:00,SHE,,50,0,,,,,City,,{522C6504-DA1C-4F97-A722-1F6928FBD591},,,,,,503,558436,Water Main Repair Break,00-01299,WWATERMAIN,,3/6/2018 0:00,-9318287.538,5198164.917,MI161,13,BnB,191608,BnB,"Boyer loamy sand, 1 to 6 percent slopes",7.2,66.09555707
00-01343,,1/1/1950 0:00,1,,,,AA,,,CI,0,21,,6,0,IS,,,GBurda,8/5/2019 0:00,SHE,,,0,,,,,,,{9B0A91C8-6265-4FF9-8BE0-99556ECBAE9D},,,,,,221,436321,Water Main Repair Break,00-01343,WWATERMAIN,,2/11/2015 0:00,-9317692.966,5198535.682,MI161,13,MdA,191644,MdA,"Matherton sandy loam, 0 to 4 percent slopes",7.2,21.37453107
00-01343,,1/1/1950 0:00,1,,,,AA,,,CI,0,251,,6,0,IS,,,EtMiller,7/18/2019 0:00,SHE,,,0,,,,,,,{E6EDF3B5-E40C-4E50-B259-02B05FF81E9E},,,,,,221,436321,Water Main Repair Break,00-01343,WWATERMAIN,,2/11/2015 0:00,-9317692.966,5198535.682,MI161,13,MdA,191644,MdA,"Matherton sandy loam, 0 to 4 percent slopes",7.2,251.2229499
00-01376,Platt Rd,1/1/1960 0:00,1,,,EST,AA,,,DI,0,465,,12,0,IS,,,GBurda,7/30/2019 0:00,SHE,,,0,,,,,,,{83B9DA57-8BDF-40A5-8518-6102DE08A9F3},,,,,,184,429190,Water Main Repair Break,00-01376,WWATERMAIN,,11/21/2014 0:00,-9317468.984,5198152.46,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,465.3473033
00-01414,,1/18/1959 0:00,1,,A89W-W2,,AA,MATERIAL CONFIRMED,1714,CI,0,67,,12,0,IS,,,EtMiller,7/30/2019 0:00,SHE,,,0,,,,,,,{9F5F03BD-2813-423E-924B-6A22B5D6A780},,,,,,81,379532,Water Main Repair Break,00-01414,WWATERMAIN,,12/12/2013 0:00,-9317454.178,5197760.421,MI161,13,NaB,191656,NaB,"Nappanee silty clay loam, 2 to 6 percent slopes",7.5,67.36220311
00-01495,Pine Valley Blvd,1/13/1964 0:00,1,SILLER,A212W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,617,,8,0,IS,,,CTurkington,4/23/2019 0:00,SHE,,,0,,,,,Develop,,{BFAFAFA1-B3BA-4A32-AED5-1D3852D079EB},,,,,,758,695830,Water Main Repair Break,00-01495,WWATERMAIN,Pine Valley Blvd,2/2/2021 0:00,-9320455.078,5198413.821,MI161,13,Sb,191668,Sb,"Sebewa loam, disintegration moraine, 0 to 2 percent slopes",7.5,616.8430345
00-01590,Page Ave,1/13/1964 0:00,1,SILLER,A212W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,466,,6,0,IS,,,GBurda,1/11/2019 0:00,SHE,,,0,,,,,Develop,,{1079DB2E-ABCF-4652-9302-7ED882776CE0},,,,,,422,520895,Water Main Repair Break,00-01590,WWATERMAIN,,3/20/2017 0:00,-9320410.837,5198560.417,MI161,13,MdA,191644,MdA,"Matherton sandy loam, 0 to 4 percent slopes",7.2,465.5482991
00-01622,,1/13/1964 0:00,1,SILLER,A212W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,90,,2,0,IS,,,CTurkington,4/23/2019 0:00,SHE,,,0,,,,,Develop,,{6864B768-0AE8-470E-89EC-C54211FA1667},,,,,,326,480341,Water Main Repair Break,00-01622,WWATERMAIN,,2/17/2016 0:00,-9320686.63,5198682.86,MI161,13,Sb,191668,Sb,"Sebewa loam, disintegration moraine, 0 to 2 percent slopes",7.5,89.75973843
00-01633,,5/7/1965 0:00,1,,A255W-W,ASBUILT,AA,,,DI,0,0,,8,0,IS,,,gburda,5/25/2017 0:00,SHE,,,0,,,,,,,{2F086120-9F89-4922-9491-21313C08A4E3},,,,,,688,655671,Water Main Repair Break,00-01633,WWATERMAIN,,5/29/2020 0:00,-9320225.195,5197985.398,MI161,13,WaA,191687,WaA,"Wasepi sandy loam, 0 to 4 percent slopes",7.1,22.48809526
00-01697,,1/13/1964 0:00,1,SILLER,A212W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,0,,8,0,IS,,,KBemish,1/27/2015 0:00,SHE,,,0,,,,,Develop,,{2BB12F30-0B41-4683-944A-2F0F9D579F4C},,,,,,458,546787,Water Main Repair Break,00-01697,WWATERMAIN,,11/26/2017 0:00,-9320536.052,5198314.251,MI161,13,Sb,191668,Sb,"Sebewa loam, disintegration moraine, 0 to 2 percent slopes",7.5,103.207412
00-01987,,1/1/1959 0:00,1,,,,AA,,,CI,0,0,,6,0,IS,,,KBemish,1/27/2015 0:00,SHE,,,0,,,,,Develop,,{E08192D0-B3B6-49E5-BFC8-9E4A7E800189},,,,,,207,434581,Water Main Repair Break,00-01987,WWATERMAIN,,1/16/2015 0:00,-9318973.003,5198471.968,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,51.06347175
00-01987,,1/1/1959 0:00,1,,,,AA,,,CI,0,0,,6,0,IS,,,KBemish,1/27/2015 0:00,SHE,,,0,,,,,Develop,,{383416BA-B858-469B-A7B4-C24BA76E6A82},,,,,,207,434581,Water Main Repair Break,00-01987,WWATERMAIN,,1/16/2015 0:00,-9318973.003,5198471.968,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,225.8431324
00-02347,,9/29/1960 0:00,2,AA,A120W-W (A123W-W),ASBUILT,AA,,,CI,0,226,,12,0,IS,,,CTurkington,4/23/2019 0:00,SHE,,,0,,,,,,,{CAA35728-81AE-4DBA-BE8B-44CEB3CC291C},,,,,,71,376249,Water Main Repair Break,00-02347,WWATERMAIN,,11/1/2013 0:00,-9321041.335,5198566.556,MI161,13,Sb,191668,Sb,"Sebewa loam, disintegration moraine, 0 to 2 percent slopes",7.5,225.5736471
00-02416,,1/13/1964 0:00,1,SILLER,A212W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,48,,6,0,IS,,,CTurkington,4/23/2019 0:00,SHE,,,0,,,,,Develop,,{139311F3-9556-44A7-A508-FF85DCC46D96},,,,,,975,831984,Water Main Repair Break,00-02416,WWATERMAIN,,2/22/2023 0:00,-9320544.53,5198683.35,MI161,13,MdA,191644,MdA,"Matherton sandy loam, 0 to 4 percent slopes",7.2,47.59567802
00-02549,Huron View Blvd,4/30/1965 0:00,2,AA,A264W-W,ASBUILT,AA,,,DI,0,0,,16,0,IS,,,SWhite,7/30/2013 0:00,NEH,,,0,,,,,,,{F23A4FD4-3B0B-4F4B-B0AF-6E5ED3A40ECD},,,,,,629,614711,Water Main Repair Break,00-02549,WWATERMAIN,Huron View Blvd,7/10/2019 0:00,-9322807.623,5205804.131,MI161,13,MmF,191650,MmF,"Miami loam, 25 to 35 percent slopes",6.7,50.62379567
00-02677,,1/1/1920 0:00,1,,,,AA,,,CI,0,280,,6,0,IS,,,GBurda,8/2/2019 0:00,WH,,,0,,,,,,,{E0C740A8-B7E4-4533-B69E-16442F693823},,,,,,307,477321,Water Main Repair Break,00-02677,WWATERMAIN,,1/20/2016 0:00,-9324747.432,5202954.176,MI161,13,FoB,191623,FoB,"Fox sandy loam, till plain, 2 to 6 percent slopes",7.3,280.1735117
00-02677,,1/1/1920 0:00,1,,,,AA,,,CI,0,32,,6,0,IS,,,GBurda,8/2/2019 0:00,WH,,,0,,,,,,,{F7ED1D31-7BA1-4C26-853D-79C72DCC1BBC},,,,,,307,477321,Water Main Repair Break,00-02677,WWATERMAIN,,1/20/2016 0:00,-9324747.432,5202954.176,MI161,13,FoB,191623,FoB,"Fox sandy loam, till plain, 2 to 6 percent slopes",7.3,32.29672338
00-03075,Benjamin St,1/1/1895 0:00:00,1,,,EST,AA,,,CI,0,191.4,,6,0,IS,,,GBurda,12/13/2018 0:00,GRA,,,0,,,,,,,{7EB70BC8-B9CD-4270-9734-783754AA7B1C},,,,,,770,702132,Water Main Repair Break,00-03075,WWATERMAIN,Benjamin St,2/22/2021 0:00,-9322198.338,5201655.134,MI161,13,FoA,191622,FoA,"Fox sandy loam, till plain, 0 to 2 percent slopes",7.3,191.3543703
00-03221,,1/1/1910 0:00,1,,,,AA,,,CI,0,249,,6,0,IS,,,GBurda,8/5/2019 0:00,GED,,,0,,,,,,,{8126ECA5-60DF-4165-B2F4-5031E4E1DD2D},,,,,,697,669792,Water Main Repair Break,00-03221,WWATERMAIN,,7/29/2020 0:00,-9319903.511,5201167.939,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,249.1042714
00-03290,,1/1/1910 0:00,1,,,,AA,,,CI,0,514,,6,0,IS,,,EtMiller,7/18/2019 0:00,GED,,,0,,,,,,,{D938D0B5-6271-40D5-A95B-220E82A23C7D},,,,,,82,379804,Water Main Repair Break,00-03290,WWATERMAIN,,12/18/2013 0:00,-9320052.174,5201143.247,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,513.5012541
00-03353,,1/1/1950 0:00,1,,,,AA,,,CI,0,21,,6,0,IS,,,EtMiller,7/18/2019 0:00,WH,,,0,,,,,,,{47A583F9-AC6D-49D4-B069-69B716757A6E},,,,,,932,815070,Water Main Repair Break,00-03353,WWATERMAIN,,11/4/2022 0:00,-9324116.517,5205056.476,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,20.50885392
00-03353,,1/1/1950 0:00,1,,,,AA,,,CI,0,11,,6,0,IS,,,EtMiller,7/18/2019 0:00,WH,,,0,,,,,,,{554584E5-213C-4F66-AC37-AF53C30E611B},,,,,,932,815070,Water Main Repair Break,00-03353,WWATERMAIN,,11/4/2022 0:00,-9324116.517,5205056.476,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,10.94382525
00-03490,Chandler Rd,1/1/1940 0:00,1,,,,AA,,,CI,0,533,,6,0,IS,,,EtMiller,7/9/2018 0:00,NEHWPRZ,,,0,,,,,,,{CED3527A-4C86-4996-8460-B05FD660B757},,,,,,225,437376,Water Main Repair Break,00-03490,WWATERMAIN,,2/25/2015 0:00,-9321680.967,5205719.749,MI161,13,FoB,191623,FoB,"Fox sandy loam, till plain, 2 to 6 percent slopes",7.3,533.2098597
00-03818,E Huron St,1/1/1897 0:00:00,1,,,,AA,,,CI,0,289,,6,0,IS,,,GBurda,1/24/2019 0:00,GRA,,,0,,,,,,,{F5F031F7-B783-43C3-992B-F2484F828E5A},,,,,,424,524024,Water Main Repair Break,00-03818,WWATERMAIN,,4/13/2017 0:00,-9321805.615,5203204.628,MI161,13,FoA,191622,FoA,"Fox sandy loam, till plain, 0 to 2 percent slopes",7.3,288.5901372
00-03960,Observatory St,1/1/1892 0:00:00,1,,,,,,,CI,0,0,,6,0,AB,,,MMain,10/3/2016 0:00,GED,,,0,,,,,,,{088788D8-E3B3-4ED5-B682-65133A52AAE7},,,,,,161,403762,Water Main Repair Break,00-03960,WWATERMAIN,,7/3/2014 0:00,-9320904.678,5203041.778,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,163.5153527
00-04097,,1/1/1910 0:00,1,,,,AA,,,CI,0,183,,6,0,IS,,,EtMiller,8/1/2019 0:00,GRA,,,0,,,,,,,{B772AC9C-B123-4550-9D31-A0FD87E5AA0F},,,,,,102,382738,Water Main Repair Break,00-04097,WWATERMAIN,,1/29/2014 0:00,-9321410.366,5203495.699,MI161,13,WawabE,191649,WawabE,"Wawasee loam, 18 to 25 percent slopes",7.2,183.4346077
00-04281,,1/1/1920 0:00,1,,,,AA,,,CI,0,20.8,,6,0,AB,,,CTurkington,11/7/2018 0:00,WH,,,0,,,,,,,{4B50C940-EAD0-4C06-A53F-04EAD71FB3D3},,,,,,128,385526,Water Main Repair Break,00-04281,WWATERMAIN,,3/5/2014 0:00,-9324146.11,5201260.019,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,20.76010747
00-04356,Prescott Ave,1/1/1920 0:00,1,,,EST,AA,,,CI,0,459.1,,6,0,IS,,,GBurda,1/3/2019 0:00,WH,,,0,,,,,,,{EAAF70E8-941B-49F9-AFF0-BE9112DA5665},,,,,,96,382685,Water Main Repair Break,00-04356,WWATERMAIN,Prescott Ave,1/29/2014 0:00,-9323641.86,5200692.066,MI161,13,StB,191680,StB,"St. Clair clay loam, 2 to 6 percent slopes",7.3,459.0800644
00-04579,Pomona Rd,1/1/1950 0:00,1,,,EST,AA,,,CI,0,28,,6,0,IS,,,GBurda,7/30/2019 0:00,WH,,,0,,,,,,,{414CB69A-9E87-4E03-A16A-40F8596B98DC},,,,,,466,552825,Water Main Repair Break,00-04579,WWATERMAIN,,12/11/2017 0:00,-9324424.713,5204547.384,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,28.20539673
00-04579,Pomona Rd,1/1/1950 0:00,1,,,EST,AA,,,CI,0,418,,6,0,IS,,,GBurda,7/30/2019 0:00,WH,,,0,,,,,,,{7007901C-0C94-43B4-8520-274443B08112},,,,,,466,552825,Water Main Repair Break,00-04579,WWATERMAIN,,12/11/2017 0:00,-9324424.713,5204547.384,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,417.9532855
00-04614,Morningside Dr,1/1/1950 0:00,1,,,EST,AA,,,CI,0,650,,6,0,IS,,,GBurda,4/4/2019 0:00,WH,,,0,,,,,,,{2EC57ECC-195B-49F6-8BA2-BE2F8587EDBB},,,,,,76,378632,Water Main Repair Break,00-04614,WWATERMAIN,,11/26/2013 0:00,-9325045.476,5204821.846,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,649.8893535
00-04615,,1/1/1950 0:00,1,,,,AA,,,CI,0,141,,6,0,IS,,,EtMiller,7/18/2019 0:00,WH,,,0,,,,,,,{196D58FB-1FA2-49F2-9523-D6F271C6C8C3},,,,,,69,375563,Water Main Repair Break,00-04615,WWATERMAIN,,10/25/2013 0:00,-9325213.951,5204736.324,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,141.5002159
00-04615,Wines Dr,1/1/1950 0:00,1,,,EST,AA,,,CI,0,686,,6,0,IS,,,EtMiller,7/18/2019 0:00,WH,,,0,,,,,,,{79405DAA-70A8-4790-8CC4-149F6D2D56DE},,,,,,69,375563,Water Main Repair Break,00-04615,WWATERMAIN,,10/25/2013 0:00,-9325213.951,5204736.324,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,685.554664
00-04617,,9/12/1960 0:00,1,AA,A107W-W,,AA,,,CI,0,0,,4,0,IS,,,EtMiller,7/28/2014 0:00,GRA,,,0,,,,,,,{1A9D2573-DD28-471E-8CEB-EA12FA8EAAF8},,,,,,133,386222,Water Main Repair Break,00-04617,WWATERMAIN,,3/13/2014 0:00,-9324278.345,5204274.549,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,212.6747144
00-04630,,9/12/1960 0:00,1,,A107W-W,,AA,,,CI,0,0,,6,0,IS,,,EtMiller,7/28/2014 0:00,WH,,,0,,,,,,,{F70D895B-DDE8-4894-A6B1-46A3464689D6},,,,,,817,754027,Water Main Repair Break,00-04630,WWATERMAIN,,10/23/2021 0:00,-9324253.575,5204385.695,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,200.2641651
00-04775,Sunset Rd,1/1/1886 0:00:00,2,AA,,EST,AA,,,CI,0,933,,14,0,IS,,,GBurda,7/30/2019 0:00,GRA,,,0,,,,,,,{87DA6AE0-0E48-4242-B763-C447842F6983},,,,,,630,616012,Water Main Repair Break,00-04775,WWATERMAIN,,7/20/2019 0:00,-9322942.535,5204766.192,MI161,13,MmF,191650,MmF,"Miami loam, 25 to 35 percent slopes",6.7,933.0371239
00-04923,,1/1/1920 0:00,1,,,,AA,,,CI,0,372,,4,0,IS,,,EtMiller,7/18/2019 0:00,GED,,,0,,,,,,,{B4114423-5FE8-492A-A86E-D7B5C85CFDA1},,,,,,524,575157,Water Main Repair Break,00-04923,WWATERMAIN,,7/22/2018 0:00,-9320058.782,5202407.508,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,371.7485262
00-05089,S University Ave,1/1/1895 0:00:00,1,,,EST,AA,,,CI,0,332,,6,0,IS,,,GBurda,1/15/2019 0:00,GED,,,0,,,,,,,{6D6F4074-53F5-454B-B250-DA21864E78F9},,,,,,1001,864206,Water Main Repair Break,00-05089,WWATERMAIN,S University Ave,7/26/2023 0:00,-9320462.268,5202282.434,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,332.0171717
00-05093,,1/1/1900 0:00,1,,,,AA,,,CI,0,2,,6,0,IS,,,EtMiller,7/18/2019 0:00,GED,,,0,,,,,,,{C6015F7B-A92E-4DAD-AED6-BB48FC5C8C4C},,,,,,1014,869163,Water Main Repair Break,00-05093,WWATERMAIN,,8/24/2023 0:00,-9320615.35,5202294.5,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,2.158547844
00-05128,,1/1/1910 0:00,1,,,,AA,,,CI,0,7,,6,0,IS,,,EtMiller,7/18/2019 0:00,GED,,,0,,,,,,,{BAA419D5-6872-4502-8968-0B4115418977},,,,,,997,857761,Water Main Repair Break,00-05128,WWATERMAIN,,6/22/2023 0:00,-9320345.67,5202388.4,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,6.875328079
00-05387,,1/1/1940 0:00,1,,,,AA,,,CI,0,0,,6,0,IS,,,EtMiller,1/16/2018 0:00,WH,,,0,,,,,,,{9ECE2B08-B0AF-4A67-A1C5-DDB4682A28A1},,,,,,611,606521,Water Main Repair Break,00-05387,WWATERMAIN,,5/10/2019 0:00,-9324181.104,5202048.287,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,45.18466814
00-05519,E Stadium Blvd,1/1/1930 0:00,1,,,EST,AA,,,CI,0,782,,6,0,IS,,,CTurkington,4/23/2019 0:00,GRA,,,0,,,,,,,{6CEC03C3-C511-4A9E-B38E-55305CB2CED6},,,,,,969,829649,Water Main Repair Break,00-05519,WWATERMAIN,E Stadium Blvd,2/6/2023 0:00,-9320805.66,5200135.82,MI161,13,FoA,191622,FoA,"Fox sandy loam, till plain, 0 to 2 percent slopes",7.3,781.8189002
00-05589,Frieze Ave,1/1/1940 0:00,1,,,EST,AA,,,CI,0,605,,6,0,IS,,,GBurda,1/24/2019 0:00,SHE,,,0,,,,,,,{06616145-960F-458E-96B7-E9C7A1F705A4},,,,,,376,513855,Water Main Repair Break,00-05589,WWATERMAIN,,12/7/2016 0:00,-9319887.577,5199971.264,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,605.4029105
00-05604,,1/1/1920 0:00,1,,,,AA,,,CI,0,374,,6,0,IS,,,EtMiller,7/18/2019 0:00,GED,,,0,,,,,,,{68DE320C-A059-49C6-AA98-2504DA8C047B},,,,,,135,386240,Water Main Repair Break,00-05604,WWATERMAIN,,3/13/2014 0:00,-9319906.001,5200614.913,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,374.4143042
00-05656,,9/12/1960 0:00,1,,A107W-W,,AA,,,CI,0,0,,6,0,IS,,,EtMiller,7/28/2014 0:00,WH,,,0,,,,,,,{187C9BF3-054A-4002-BE9F-B35568F93BE5},,,,,,89,380448,Water Main Repair Break,00-05656,WWATERMAIN,,1/2/2014 0:00,-9324147.448,5204570.099,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,42.03175209
00-05741,Cressfield Ln,1/1/1940 0:00,1,,,,AA,,,CI,0,16,,3,0,IS,,,EtMiller,7/18/2019 0:00,WH,,,0,,,,,,,{9B234EC8-456F-4978-A253-AA68A5BAF99B},,,,,,308,477351,Water Main Repair Break,00-05741,WWATERMAIN,,1/21/2016 0:00,-9323594.322,5204930.116,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,16.00989041
00-06156,E University Ave,5/9/1984 0:00,1,,<Null>,ASBUILT,AA,,,DI,0,307,,6,0,IS,,,CTurkington,4/23/2019 0:00,GRA,,,0,,,,,,,{C1DF6666-47B1-4B1E-B03C-0E57798C25C3},,,,,,664,638551,Water Main Repair Break,00-06156,WWATERMAIN,E University Ave,12/30/2019 0:00,-9321428.275,5201895.415,MI161,13,FoA,191622,FoA,"Fox sandy loam, till plain, 0 to 2 percent slopes",7.3,306.572004
