FACILITYID,LOCATION,INSTALLDAT,SUBTYPE,INSTALLCON,ASBUILTNUM,DATAORIGIN,OWNER,COMMENTS,MODELID,MATERIAL,INCASING,LENGTH,WRAPPING,DIAMETER,DEPTH,STATUS,CreatedUse,DateCreate,ModifiedUs,DateModifi,PressureSy,LiningType,PipeClass,Roughness,OperatingP,LiningDate,LiningCont,LiningAsbu,ProjectFun,JointUse,GlobalID,created_us,created_da,last_edite,last_edi_1,Replacemen,OBJECTID,WORKORDERI,DESCRIPTIO,EntityUid,EntityType,LOCATION_1,INITIATEDA,WOXCOORDIN,WOYCOORDIN,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Map_unit_s,Map_unit_n,Ph Rating,Shape_Length
00-12623,Earhart Rd,11/6/1962 0:00,2,,A176W-W4,ASBUILT,AA,,8029,CI,0,77,,16,0,IS,,,ETMiller,8/17/2022 0:00,NEHEPRZ,,,0,,,,,,,{0D53764C-219E-401F-8831-73C671E6A533},,,,,,29,340720,Water Main Repair Break,00-12623,WWATERMAIN,,4/2/2013 0:00,-9315493.52,5204113.409,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,76.94416254
00-13038,Platt Rd,1/1/1960 0:00,1,,,,AA,MATERIAL CONFIRMED,8179,DI,0,495,,8,0,IS,,,EtMiller,3/10/2021 0:00,SHE,,,0,,,,,,,{D4A40A33-4C86-4AE3-9330-DAD76DE65604},,,,,,265,464191,Water Main Repair Break,00-13038,WWATERMAIN,,8/13/2015 0:00,-9317434.214,5196204.974,MI161,13,Pe,191665,Pe,"Pewamo clay loam, 0 to 2 percent slopes",7.2,495.0613975
00-14116,Braeside Pl,4/27/1963 0:00,1,,A194W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,59,,6,0,IS,,,gburda,12/13/2021 0:00,WH,,,0,,,,,Develop,,{8D84DAAD-FCF8-4623-9B2E-BA34F7E5F43F},,,,,,519,574451,Water Main Repair Break,00-14116,WWATERMAIN,Braeside Pl,7/13/2018 0:00,-9324099.595,5199375.738,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,59.02978591
00-14116,Braeside Pl,4/27/1963 0:00,1,,A194W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,402,,6,0,IS,,,gburda,12/13/2021 0:00,WH,,,0,,,,,Develop,,{029CFCDB-F729-4B6C-A38F-9DFA4303522B},,,,,,519,574451,Water Main Repair Break,00-14116,WWATERMAIN,Braeside Pl,7/13/2018 0:00,-9324099.595,5199375.738,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,402.2021383
00-14218,Greenview Dr,4/27/1963 0:00,1,,A194W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,519,,6,0,IS,,,gburda,7/11/2022 0:00,WH,,,0,,,,,Develop,,{93AC0A85-8467-4A81-9223-A24011C23945},,,,,,103,382748,Water Main Repair Break,00-14218,WWATERMAIN,,1/29/2014 0:00,-9324512.734,5199278.083,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,519.0886557
00-14218,Greenview Dr,4/27/1963 0:00,1,,A194W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,9,,6,0,IS,,,gburda,7/11/2022 0:00,WH,,,0,,,,,Develop,,{EB0DB47A-D7F8-4952-838D-2F28186E4898},,,,,,103,382748,Water Main Repair Break,00-14218,WWATERMAIN,,1/29/2014 0:00,-9324512.734,5199278.083,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,9.078913958
00-14229,,5/3/1963 0:00,1,,A193W-W1,,AA,,,CI,0,312,,12,0,IS,,,EtMiller,6/30/2022 0:00,WH,,,0,,,,,City,,{4C80FACF-597F-4D81-A9AA-30551B674A20},,,,,,726,688172,Water Main Repair Break,00-14229,WWATERMAIN,,11/30/2020 0:00,-9324397.456,5199031.525,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,311.7083552
00-14365,,8/31/1972 0:00,1,,A499W-W10,ASBUILT,AA,,,DI,0,324,,12,0,IS,,,GBurda,10/18/2019 0:00,WH,,,0,,,,,Develop,,{7F6E0574-64C9-4CF1-9865-38B340B697E7},,,,,,903,795003,Water Main Repair Break,00-14365,WWATERMAIN,,7/17/2022 0:00,-9322266.243,5197030.049,MI161,13,MoC,191652,MoC,"Morley loam, 6 to 12 percent slopes",7.2,323.9283701
00-14396,,8/31/1972 0:00,1,,A499W-W7,ASBUILT,AA,,,DI,0,151,,12,0,IS,,,GBurda,10/17/2019 0:00,WH,,,0,,,,,Develop,,{FE093CD0-E9D2-4AA0-8E34-E5354667969E},,,,,,995,856221,Water Main Repair Break,00-14396,WWATERMAIN,,6/17/2023 0:00,-9322573.42,5196879.239,MI161,13,MoB,191651,MoB,"Glynwood loam, 2 to 6 percent slopes",7.2,151.1118032
00-14550,Mt Pleasant Ave,1/1/1940 0:00,1,,,EST,AA,,,CI,0,156,,6,0,IS,,,gburda,6/3/2020 0:00,WH,,,0,,,,,,,{AA357C42-2D94-44B0-9A34-319E79E29330},,,,,,399,515739,Water Main Repair Break,00-14550,WWATERMAIN,,1/8/2017 0:00,-9324238.074,5201684.762,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,155.9001426
00-14597,,1/1/1950 0:00,1,,,,AA,,8916,CI,0,203,,6,0,IS,,,EtMiller,12/30/2020 0:00,WH,,,0,,,,,,,{73E56354-95F6-4144-892B-2A51BDE3854B},,,,,,643,632002,Water Main Repair Break,00-14597,WWATERMAIN,,11/11/2019 0:00,-9324902.856,5201305.898,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,203.3411254
00-15098,Ascot Rd,4/27/1963 0:00,1,,A194W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,15,,6,0,IS,,,gburda,10/22/2021 0:00,WH,,,0,,,,,Develop,,{3C787C7E-EDEA-4AE6-8976-AAD39C79FB1F},,,,,,864,764715,Water Main Repair Break,00-15098,WWATERMAIN,Ascot Rd,1/31/2022 0:00,-9323739.661,5199217.068,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,15.18044619
00-15118,Ascot Rd,4/27/1963 0:00,1,,A194W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,232,,6,0,IS,,,gburda,12/13/2021 0:00,WH,,,0,,,,,Develop,,{B6E239CF-0B4F-456F-8ACF-464A42792267},,,,,,710,683163,Water Main Repair Break,00-15118,WWATERMAIN,Ascot Rd,10/12/2020 0:00,-9323838.7,5199061.708,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,232.0770142
00-15098,Ascot Rd,4/27/1963 0:00,1,,A194W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,619,,6,0,IS,,,gburda,10/22/2021 0:00,WH,,,0,,,,,Develop,,{C635D0DB-E3A1-41C1-859A-A43BEE28D8AF},,,,,,864,764715,Water Main Repair Break,00-15098,WWATERMAIN,Ascot Rd,1/31/2022 0:00,-9323739.661,5199217.068,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,618.6130149
00-15129,Chaucer Dr,4/27/1963 0:00,1,,A194W-W,ASBUILT,AA,MATERIAL CONFIRMED,,CI,0,366,,6,0,IS,,,gburda,12/13/2021 0:00,WH,,,0,,,,,Develop,,{064ED3A5-15E6-4D76-BE19-2850677540E0},,,,,,719,686649,Water Main Repair Break,00-15129,WWATERMAIN,Chaucer Dr,11/10/2020 0:00,-9323844.643,5199150.103,MI161,13,BntaaB,191607,BntaaB,"Blount loam, 2 to 6 percent slopes",7.4,365.6493574
00-15766,,1/1/1950 0:00,1,,,,AA,,,CI,0,208,,6,0,IS,,,jroberts,6/24/2020 0:00,WH,,,0,,,,,Develop,,{34688CB4-CE83-415A-8DFB-D29708906624},,,,,,80,379280,Water Main Repair Break,00-15766,WWATERMAIN,,12/9/2013 0:00,-9325820.716,5200755.565,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,208.0003281
00-15808,Pauline Blvd,11/25/1964 0:00,1,,A238W-W,ASBUILT,AA,,,DI,0,314,,12,0,IS,,,EtMiller,5/9/2022 0:00,WH,,,0,,,,,,,{94C8B1BF-BD98-4B61-81D5-822976F3CA06},,,,,,432,530257,Water Main Repair Break,00-15808,WWATERMAIN,Pauline Blvd,6/14/2017 0:00,-9325601.308,5201211.882,MI161,13,CpA,191617,CpA,"Conover-Brookston loams, 0 to 2 percent slopes",7.2,313.5796254
00-15868,Commerce Dr,9/19/1961 0:00,1,FJSC,A152W-W,ASBUILT,AA,Cast Iron Confirmed,,CI,0,72,,8,0,IS,,,jroberts,5/6/2020 0:00,WH,,,0,,,,,,,{72316380-A307-4F4C-8656-490C084B34DB},,,,,,194,433273,Water Main Repair Break,00-15868,WWATERMAIN,,12/30/2014 0:00,-9325912.389,5201467.47,MI161,13,WawabC,191647,WawabC,"Wawasee loam, 6 to 12 percent slopes",7.2,71.71006644
00-16671,,1/1/1950 0:00,1,,,,AA,,,CI,0,309,,6,0,IS,,,MModson,4/8/2020 0:00,WH,,,0,,,,,City,,{68864708-73DE-4436-87B4-29B58C002425},,,,,,188,431075,Water Main Repair Break,00-16671,WWATERMAIN,,12/15/2014 0:00,-9324831.328,5200031.908,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,309.1594947
00-16675,Catalina Ave,1/1/1950 0:00,1,,,EST,AA,,,CI,0,410,,6,0,IS,,,gburda,5/7/2020 0:00,WH,,,0,,,,,Develop,,{00FA9420-B5D8-427C-9035-627B93F4CF41},,,,,,759,696339,Water Main Repair Break,00-16675,WWATERMAIN,Catalina Ave,2/4/2021 0:00,-9325075.013,5200399.205,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,409.6402077
00-16676,Catalina Ave,1/1/1950 0:00,1,,,EST,AA,,,CI,0,43,,6,0,IS,,,gburda,5/7/2020 0:00,WH,,,0,,,,,Develop,,{EA6F263A-08A6-4864-805E-C72BE80F002A},,,,,,64,373592,Water Main Repair Break,00-16676,WWATERMAIN,,10/9/2013 0:00,-9325073.075,5200284.239,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,42.78530829
00-16676,Catalina Ave,1/1/1950 0:00,1,,,EST,AA,,,CI,0,377,,6,0,IS,,,gburda,5/7/2020 0:00,WH,,,0,,,,,Develop,,{5326CE26-BDFA-427A-9B28-E22691F2CD1E},,,,,,64,373592,Water Main Repair Break,00-16676,WWATERMAIN,,10/9/2013 0:00,-9325073.075,5200284.239,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,376.7748596
00-16698,Greenview Dr,1/1/1950 0:00,1,,,EST,AA,,,CI,0,176,,6,0,IS,,,gburda,6/24/2020 0:00,WH,,,0,,,,,,,{18FDAD91-C33C-4FBE-ADAB-47392CDE1FDB},,,,,,160,402546,Water Main Repair Break,00-16698,WWATERMAIN,,6/24/2014 0:00,-9324541.183,5199728.579,MI161,13,StB,191680,StB,"St. Clair clay loam, 2 to 6 percent slopes",7.3,175.7836904
00-16711,Normandy Rd,1/1/1950 0:00,1,,,EST,AA,,,CI,0,720,,6,0,IS,,,gburda,6/29/2020 0:00,WH,,,0,,,,,City,,{F66B21D9-2C40-4D81-817F-9FF3DB0A041E},,,,,,19,335358,Water Main Repair Break,00-16711,WWATERMAIN,,2/5/2013 0:00,-9324684.684,5199904.201,MI161,13,WawabB,191646,WawabB,"Wawasee loam, 2 to 6 percent slopes",7.2,720.4303138
00-16711,Normandy Rd,1/1/1950 0:00,1,,,EST,AA,,,CI,0,18,,6,0,IS,,,gburda,6/29/2020 0:00,WH,,,0,,,,,,,{F89496D2-F125-4F10-AD52-E526DE8565D9},,,,,,19,335358,Water Main Repair Break,00-16711,WWATERMAIN,,2/5/2013 0:00,-9324684.684,5199904.201,MI161,13,StB,191680,StB,"St. Clair clay loam, 2 to 6 percent slopes",7.3,18.00423642
